titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
Servicio de transporte público urbano de viajeros/as en el municipio de Rincón de la Victoria	Contratación 50/26	"Servicios
Servicios de transporte por vía terrestre, incluidos los servicios de furgones blindados y servicios de mensajería, excepto el transporte de correo"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=n%2FjZ4k1PuNs7u6%2B%2FR7DUoA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152036.pdf	España	2026-08-18	Espana	Espana	contrato, criterio, servicio, oferta, victoria, rincon, pcap, transporte, electronico, cantidad (1.0)	No tecnológica		mobiliario
Contrato de suministro en régimen de arrendamiento con mantenimiento integral de maquinaria de musculación, cardiovascular y ciclo indoor para las instalaciones deportivas municipales de Vila-real.	2026/00018865C	"Suministros
Alquiler"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=gC3lowN91%2FP10HRJw8TEnQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152039.pdf	España	2026-08-18	Espana	Espana	contrato, oferta, cantidad, criterio, vilareal, maximo, ejecucion, subtipo, electronico, plazo (1.0)	N/S		
Construcción de 15 Viviendas Unifamiliares Adosadas de Protección Oficial, en Régimen Especial, en Parcela 1, Urbanización Las Eras Sur, de Herrera (Sevilla).	1212/2026	"Obras
Construcción"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=NQZBxLYxZReOUi78BmzhOQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152042.pdf	España	2026-08-18	Espana	Espana	electronico, herrero, plazo, contrato, espana, direccion, constitucion, ejecucion, oferta, avda (1.0)	N/S		
Suministro de 3.000 mochilas para las campañas de esquí Valdelinares 2026-27 y 2027-28	4625/2026	"Suministros
Adquisición"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=DHL%2F8NuIofS8ebB%2FXTwy0A%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152046.pdf	España	2026-08-18	Espana	Espana	teruel, electronico, contrato, suministro, enero, provincial, oferta, eur, diputacion, realizara (1.0)	N/S		
Servicio de arbitraje y supervisión de las jornadas de la competición municipal de Deporte Escolar en las especialidades deportivas de Fútbol-7 y Unihockey-Floorball organizadas por la delegación de Deportes del Excmo. Ayuntamiento de Leganés, por lotes.	2026/0055	"Servicios
Otros servicios"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=kMbEC77WCpqqb7rCcv76BA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152049.pdf	España	2026-08-18	Espana	Espana	contrato, servicio, pliego, legán, eur, licitacion, criterio, electronico, oferta, deporte (1.0)	N/S		
Servicio de diseño, organización y ejecución del proyecto Escuela Municipal de Teatro para el ayuntamiento de Langreo	6233/2026	"Servicios
Servicios de esparcimiento, culturales y deportivos"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z6wEI%2FUjvBIS7pcxhTeWOg%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152052.pdf	España	2026-08-18	Espana	Espana	criterio, langreo, oferta, electronico, servicio, contrato, anexo, ayuntamiento, ejecucion, espana (1.0)	No tecnológica		seguro
Suministro frutas y verduras frescas para el CPAP de Bergondo	PASA 17/2026	"Suministros
Adquisición"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AuXTrGRT68ri0Kd8%2Brcp6w%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152055.pdf	España	2026-08-18	Espana	Espana	electronico, contrato, pliego, bergondo, anexo, lugar, administrativo, oferta, ejecucion, eur (1.0)	N/S		
El objeto del presente contrato es la adquisición de equipos de protección individual (EPI), vestuario y material de la nueva promoción de bomberos-conductores especialistas 2026.	233/2025	"Suministros
Adquisición"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z1EG6JoLzcdJ8Trn0ZPzLw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152059.pdf	España	2026-08-18	Espana	Espana	cpv, clasificacion, ropa, calzado, trabajo, proteccion, lote, seguridad, especial, deportivo (1.0)	No tecnológica		vestuario
Adecuación de la EDAR de GMI en Balsicas.	CONT-2026000054	"Obras
Obras hidráulicas"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=LEq4wTKEZot9Zh%2FyRJgM8w%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152102.pdf	España	2026-08-18	Espana	Espana	electronico, pacheco, contrato, oferta, criterio, postal, torre, espana, direccion, eur (1.0)	No tecnológica		reparacion
Servicio de telecomunicaciones de voz, tanto fijas como moviles y red de acceso de datos e internet en Villamediana de Iregua ( La Rioja)	2058/2026	"Servicios
Servicios de mantenimiento y reparación"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=4jfMFwZ71Njs%2BnLj3vAg5A%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152105.pdf	España	2026-08-18	Espana	Espana	servicio, criterio, ireguo, contrato, oferta, postal, direccion, villamedián, candido, eur (1.0)	No tecnológica		reparacion
Servicio de impartición de cursos incluidos en el Plan Agrupado de Formación del Ayuntamiento de Langreo para el año 2026	3572/2026	"Servicios
Servicios de educación y formación profesional"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=PinClv7%2BqjNPpzdqOdhuWg%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152115.pdf	España	2026-08-18	Espana	Espana	eur, formacion, servicio, cpv, subentidad, clasificacion, importir, contrato, espana, lote (1.0)	No tecnológica		seguro
Servicio de limpieza del Centro de Desarrollo de Tecnologías de Hontomín (Burgos), de la Fundación Ciudad de la Energía-CIUDEN, F.S.P.	PH-2026-015	"Servicios
Servicios de limpieza de edificios y servicios de administración de bienes raíces"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=OKjh48ffbUtrhBlEHQFSKA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152118.pdf	España	2026-08-18	Espana	Espana	consultar, criterio, electronico, contrato, pcap, direccion, fundacion, servicio, eur, burgo (1.0)	Tecnológica	tecnologia	limpieza
Asfaltado de varias calles en Miranda de Ebro	ABR_SMPL-OBR-2026000018	"Obras
Construcción"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VxNrJrqUt%2BDua%2Fi14w%2FPLA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152121.pdf	España	2026-08-18	Espana	Espana	miranda, ebro, espana, electronico, contrato, eur, oferta, plaza, postal, direccion (1.0)	No tecnológica		pavimentacion
Ejecución de las obras para la restauración del edificio de la Ermita de Arguilay para uso como centro de visitrantes de Arquilay. Fase I	269/2024-2	"Obras
Construcción"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=WYWnzWvuLSE7u6%2B%2FR7DUoA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152125.pdf	España	2026-08-18	Espana	Espana	electronico, oferta, contrato, trabajo, espana, ejecucion, postal, direccion, eur, corona (1.0)	N/S		
Servicios de organización, gestión y explotación de espectáculos taurinos Fiestas del Cristo 2026	1068/2026	"Servicios
Servicios de esparcimiento, culturales y deportivos"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=X0og1L%2BkDxfyoM4us5k4vw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152128.pdf	España	2026-08-18	Espana	Espana	electronico, fuente, maestre, espana, contrato, servicio, direccion, ejecucion, eur, fiesta (1.0)	No tecnológica		espectaculos
Servicio de soporte técnico y evolución del sistema ITSM ivanti	20260717-00277	"Servicios
Otros servicios"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=i9p4bDa7AhEXhk1FZxEyvw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152131.pdf	España	2026-08-18	Espana	Espana	oferta, cantidad, criterio, direccion, electronico, servicio, madrid, maximo, subtipo, apartado (1.0)	No tecnológica		seguro
Construcción de una promoción de ocho viviendas de protección pública en Eivissa.	27-2026	"Obras
Construcción general de inmuebles y obras de ingeniería civil"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=kDDHLP1XIOg4NavIWzMcHA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152135.pdf	España	2026-08-18	Espana	Espana	contrato, criterio, construccion, electronico, cantidad, oferta, ejecucion, eivissa, vivienda, trabajo (1.0)	N/S		
Contrato de las obras de reparación y conservación de caminos en el término municipal de Talavera de la Reina	82/2026/CON	"Obras
Otras construcciones especializadas"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=I%2FERcVHP7CKAAM7L03kM8A%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152138.pdf	España	2026-08-18	Espana	Espana	reina, talavero, contrato, electronico, ejecucion, obra, criterio, ayuntamiento, anual, tecnico (1.0)	No tecnológica		pavimentacion, reparacion
El objeto del contrato es la adjudicación del Contrato del Servicio de Impartición de Cursos y Talleres incluidos en la oferta formativa del curso 2026/2027 ofrecida desde las Delegaciones de las Personas Mayores, Juventud, Igualdad y Cultura, del Excmo. Ayuntamiento de Rota.	8043/2026	"Servicios
Otros servicios"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=wyyB%2F2mF5fuHCIsjvJ3rhQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152141.pdf	España	2026-08-18	Espana	Espana	taller, eur, lote, electronico, oferta, contrato, subentidad, importir, descripcion, archivo (1.0)	No tecnológica		guarderia
Renovación de red de saneamiento y abastecimiento en el entorno e interior del Colegio Garre Alpañez (Balsicas)	CONT-2026000053	"Obras
Obras hidráulicas"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YSmk3N0QKpx9Zh%2FyRJgM8w%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152145.pdf	España	2026-08-18	Espana	Espana	electronico, pacheco, contrato, torre, espana, postal, eur, oferta, direccion, criterio (1.0)	N/S		
"Suministro de material de pintura para la USBA ""El Empecinado"""	2026/ETSAE0427/00003248E	"Suministros
Adquisición"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=A1Twbp6mRIFSYrkJkLlFdw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152148.pdf	España	2026-08-18	Espana	Espana	electronico, valladolid, contrato, oferta, economico, postal, direccion, espana, oeste, ejecucion (1.0)	Tecnológica	datos	
Contrato de obra para la mejora de la zona de ses fotges: C/ Ànes, Àguila i Juià y alrededores de Playa de Muro	17/2026	"Obras
Construcción"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7nZHn4rJMemOUi78BmzhOQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152151.pdf	España	2026-08-18	Espana	Espana	muro, contrato, electronico, oferta, postal, direccion, criterio, espana, local, ayuntamiento (1.0)	No tecnológica		pavimentacion, infraestructura
CTM-2026-0008: Suministro e instalación de una bomba de calor	PcPG/2026/828942	Suministros	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=fvnLpKKJAYAaF6cS8TCh%2FA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
reforma y equipación plaza del comprado del Ayuntamiento de O Saviñao	PcPG/2026/828945	Suministros	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=fvnLpKKJAYD5Rey58Yagpg%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
Suministro de discos SSD M.2 para actualización y mejora de pcs de puesto de trabajo digital	ECON/000034/2026	Suministros	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=6eRJwkZa52nVGIpKDxgsAQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
L’objecte d’aquest contracte és la contractació dels serveis d’embalatge, desembalatge i reembalatge, transport de concentració i dispersió, i gestió de correusde les obres d’art que participaran a l’exposició Club 49. La modernitat vigilada (1949 – 1970), que es durà a terme del 15 d’octubre de 2026 al 7 de febrer de 2027, i l’execució del mateix segons els criteris i especificacions tècniques que proposa el Museu i que s’especifiquen en el Plec de prescripcions tècniques	SER_OBEA_2026_0012_	Servicios	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2Bxm8PqaUlPjjHF5qKI4aaw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
Subministrament material fungible de camps quirúrgics per a tots els centres del Consorci Sanitari Integral	CSI-2026-86	Suministros	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=04eRjM2ISxEQyBAnWzHfCg%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
Elaboración de un Estudio-Diagnostico sobre la igualdad en la provincia de Ciudad Real	DPCR2026/53717	"Servicios
Servicios sociales y de salud"	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7j0ydDg%2Fq5%2BLAncw3qdZkA%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	esp_pliego_prescripciones_20260818_152317.pdf	España	2026-08-18	Espana	Espana	real, ciudad, oferta, electronico, apertura, contrato, toledo, postal, direccion, contratacion (1.0)	N/S		
Subministrament de contencions mecàniques de pacient per al Consorci Sanitari Integral	CSI-2026-111	Suministros	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AC7Dhkjhi0TN3k3tjedSGw%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
Servei d'extracció, trasllat, custòdia, gestió, digitalització i destrucció de l'arxiu passiu de L'Hospital General de L'Hospitalet.	CSI-2026-57	Servicios	NotFound	-1.0	-1.0	2100-12-31	NotFound	https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=fAv7bet5PiaIzo3LHNPGcQ%3D%3D	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	NotFound	NotFound	España	2026-08-18	Espana	Espana	Sin tema	N/S		
Proyecto de defensa contra inundaciones del rio Cadagua en el T.M. de Güeñes	URA/004/2026	Obras	Abierto / Plazo de presentación	4307986.1	-1.0	2100-12-31	Gobierno Vasco	https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expgeura225573/es_doc/index.html	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	Proyecto de defensa contra inundaciones del rio Cadagua en el T.M. de Güeñes	NotFound	Euskadi	2026-08-18	Euskadi	Euskadi	Sin tema	N/S		
Definicion, implantacion y seguimiento del Plan Rector del la Agencia Vasca del Agua.	URA/017A/2026	Servicios	Abierto / Plazo de presentación	300.0	-1.0	2100-12-31	Gobierno Vasco	https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expgeura225487/es_doc/index.html	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	Definicion, implantacion y seguimiento del Plan Rector del la Agencia Vasca del Agua.	NotFound	Euskadi	2026-08-18	Euskadi	Euskadi	Sin tema	N/S		
Obras para la ejecución del proyecto de restauración ambiental del arroyo Sel en Sopuerta	URA/003/2026	Obras	Abierto / Plazo de presentación	467459.26	-1.0	2100-12-31	Gobierno Vasco	https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expgeura224632/es_doc/index.html	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	Obras para la ejecución del proyecto de restauración ambiental del arroyo Sel en Sopuerta	NotFound	Euskadi	2026-08-18	Euskadi	Euskadi	Sin tema	No tecnológica		obras
Suministro de material para las estaciones hidrometeorológicas y de calidad, así como para las estaciones de la red de aguas subterráneas de la Agencia Vasca del Agua-URA	URA/0001SDA/2025	Suministros	Abierto / Plazo de presentación	290.0	-1.0	2100-12-31	Gobierno Vasco	https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expjaso577455/es_doc/index.html	NotFound	NotFound	NotFound	NotFound	NotFound	2100-12-31	NotFound	NotFound	Suministro de material para las estaciones hidrometeorológicas y de calidad, así como para las estaciones de la red de aguas subterráneas de la Agencia Vasca del Agua-URA	NotFound	Euskadi	2026-08-18	Euskadi	Euskadi	Sin tema	N/S		
P.A.S.A. 64/2026. Suministro e instalación del sistema de llamada paciente-enfermera en el Área GSUC de Urgencias del Hospital General del Hospital Universitario La Paz.	P.A.S.A. 64/2026.	Suministros	En plazo	30000.0	30000.0	2026-08-21	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pasa-642026-suministro-e-instalacion-sistema-llamada-paciente-enfermera-area-gsuc	32510000-1	Abierto simplificado	Electrónica	30 días	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro e instalación del sistema de llamada paciente-enfermera en el Área GSUC de Urgencias del Hospital General del Hospital Universitario La Paz.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Contrato de servicios de consultoría, soporte técnico y coordinación de investigación para el proyecto de responsabilidad corporativa “entorno amigo para las personas mayores” del Hospital Universitario la Paz-Cantoblanco-Carlos III en el marco de la acreditación del modelo AENOR de organización comprometida con las personas mayores, para la fundación para la investigación biomédica del hospital universitario la paz, a adjudicar por procedimiento abierto simplificado mediante pluralidad de criterios. expediente pas 38-2026.	PAS 38-2026	Servicios	En plazo	10000.0	30000.0	2026-08-28	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/contrato-servicios-consultoria-soporte-tecnico-coordinacion-investigacion-proyecto	79411000-8	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	El objeto del presente pliego es la contratación de un de consultoría, soporte técnico y coordinación de investigación para Proyecto de Responsabilidad Corporativa del Hospital Universitario la Paz-Cantoblanco- Carlos III denominado “Entorno amigo para las personas mayores”.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro, instalación y puesta en funcionamiento de una guillotina industrial en el departamento de Reprografía en la sede de la calle Aduana dependiente de la Secretaría General Técnica de la Consejería de Sanidad	A/SUM-035166/2026	Suministros	En plazo	28925.62	28925.62	2026-08-28	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-instalacion-puesta-funcionamiento-guillotina-industrial-departamento	30192400-5	Abierto simplificado	Electrónica	30 días	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	El objeto del presente contrato es el suministro, instalación y puesta en marcha de una guillotina profesional destinada al departamento de Reprografía ubicado en la sede de la Calle Aduana 29, dependiente de la Secretaría General Técnica de la Consejería de Sanidad, incluyendo además la retirada de la existente.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S. 2026-5-34 Suministro de material radio intervencionista: semilla 16g con aguja precargada para el Hospital Universitario La Paz	P.A.S. 2026-5-34	Suministros	En plazo	135000.0	135000.0	2026-08-28	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-2026-5-34-suministro-material-radio-intervencionista-semilla-16g-aguja	33140000-3	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de material radio intervencionista: semilla 16g con aguja precargada para el Hospital Universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S. 2026-5-22 Suministro de sacos de inmovilización pacientes para tratamiento de radioterapia en el Hospital Universitario La Paz	P.A.S. 2026-5-22	Suministros	En plazo	137881.37	137881.37	2026-08-28	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-2026-5-22-suministro-sacos-inmovilizacion-pacientes-tratamiento-radioterapia	33140000-3	Abierto simplificado	Electrónica	18 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de sacos de inmovilización pacientes para tratamiento de radioterapia en el Hospital Universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Servicio de transporte en autobús con conductor para traslado a los aspirantes del curso selectivo de acceso al cuerpo de bomberos en la categoría de bombero especialista	A/SER-014881/2026	Servicios	En plazo	58139.13	58139.13	2026-08-26	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/servicio-transporte-autobus-conductor-traslado-aspirantes-curso-selectivo-acceso	60172000-4	Abierto simplificado	Electrónica	6 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Servicio de transporte en autobús con conductor para traslado a los aspirantes del curso selectivo de acceso al cuerpo de bomberos en la categoría de bombero especialista	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
PAS 9/2026 - Servicio de una Clinical Research Organization (CRO)	PAS 9/2026	Servicios	En plazo	36960.0	73920.0	2026-08-25	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-92026-servicio-clinical-research-organization-cro	73210000-7, 73200000-4	Abierto simplificado	Electrónica	24 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	El objeto del presente procedimiento es la definición de los trabajos y servicios correspondientes a la contratación de una CRO (Clinical Research Organization) para la prestación de servicios de Study Coordinator, enfocados en la gestión de los ensayos clínicos, estudios y proyectos en los que sea necesario, desarrollados en el específico campo de la Esclerosis Múltiple en el Hospital Universitario de La Princesa y la Fundación para la Investigación Biomédica del Hospital Universitario de La Princesa.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro con Instalación de Sistema de Seguridad y Videovigilancia (CCTV) en el Edificio de la Consejería de Sanidad sito en C/ Aduana Nº 29 (Madrid)	A/SUM-030893/2026	Suministros	En plazo	59950.0	59950.0	2026-08-26	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-instalacion-sistema-seguridad-videovigilancia-cctv-edificio-consejeria	32235000-9	Abierto simplificado	Electrónica	56 días	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	El objeto del contrato es el suministro, instalación, configuración y puesta en marcha de un sistema completo de vídeovigilancia basado en tecnología IP,incluyendo el desmontaje de la instalación existente, la ejecución de una nueva infraestructura de cableado y la implantación de un sistema moderno de captación, grabación y monitorización de imágenes. La actuación comprende la renovación integral del sistema de seguridad del edificio, incluyendo aproximadamente cuarenta y ocho puntos de vídeovigilancia distribuidos por sus diferentes plantas, una nueva red de comunicaciones estructurada, los equipos de grabación y almacenamiento, así como la adecuación del centro de control. Se garantiza que todas las prestaciones están interrelacionadas y forman una unidad funcional orientada a satisfacer una necesidad única, por lo que el contrato tiene carácter mixto conforme a los artículos 18 y 34 de la Ley 9/2017 de Contratos del Sector Público, siendo la prestación principal la de suministro.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	No tecnológica		infraestructura
